2-Aug,8.2768,8.2768,8.2768,8.2768,0.00%
2-Jul,8.2767,8.2767,8.2767,8.2767,0.00%
2-Jun,8.2771,8.2771,8.2771,8.2771,0.01%
2-May,8.2765,8.2765,8.2765,8.2765,-0.01%
2-Apr,8.2773,8.2773,8.2773,8.2773,0.00%
2-Mar,8.2774,8.2774,8.2774,8.2774,0.01%
2-Feb,8.2765,8.2765,8.2765,8.2765,0.00%
2-Jan,8.2765,8.2765,8.2765,8.2765,0.00%
1-Dec,8.2766,8.2766,8.2766,8.2766,-0.01%
1-Nov,8.2772,8.2772,8.2772,8.2772,0.00%
1-Oct,8.2768,8.2768,8.2768,8.2768,0.00%
1-Sep,8.2768,8.2768,8.2768,8.2768,0.00%
1-Aug,8.2769,8.2769,8.2769,8.2769,0.00%
1-Jul,8.277,8.277,8.277,8.277,0.00%
1-Jun,8.2767,8.2767,8.2767,8.2767,0.00%
1-May,8.277,8.277,8.277,8.277,0.00%
1-Apr,8.2774,8.2774,8.2774,8.2774,0.00%
1-Mar,8.2777,8.2777,8.2777,8.2777,-0.01%
1-Feb,8.2783,8.2783,8.2783,8.2783,0.00%
1-Jan,8.2781,8.2781,8.2781,8.2781,0.01%
Dec-00,8.2774,8.2774,8.2774,8.2774,0.00%
Nov-00,8.2777,8.2777,8.2777,8.2777,0.00%
Oct-00,8.2775,8.2775,8.2775,8.2775,-0.03%
Sep-00,8.2798,8.2798,8.2798,8.2798,0.01%
Aug-00,8.2786,8.2786,8.2786,8.2786,-0.01%
Jul-00,8.2792,8.2792,8.2792,8.2792,0.01%
Jun-00,8.2782,8.2782,8.2782,8.2782,0.01%
May-00,8.2773,8.2773,8.2773,8.2773,-0.03%
Apr-00,8.2799,8.2799,8.2799,8.2799,0.01%
Mar-00,8.2787,8.2787,8.2787,8.2787,0.00%
Feb-00,8.2786,8.2786,8.2786,8.2786,0.01%
Jan-00,8.2777,8.2777,8.2777,8.2777,-0.02%
Dec-99,8.2795,8.2795,8.2795,8.2795,0.01%
Nov-99,8.2789,8.2789,8.2789,8.2789,0.01%
Oct-99,8.2778,8.2778,8.2778,8.2778,0.00%
Sep-99,8.2778,8.2778,8.2778,8.2778,0.01%
Aug-99,8.277,8.277,8.277,8.277,0.00%
Jul-99,8.2774,8.2774,8.2774,8.2774,-0.02%
Jun-99,8.2787,8.2787,8.2787,8.2787,0.00%
May-99,8.2784,8.2784,8.2784,8.2784,-0.01%
Apr-99,8.279,8.279,8.279,8.279,-0.01%
Mar-99,8.28,8.28,8.28,8.28,0.01%
Feb-99,8.279,8.279,8.279,8.279,0.01%
Jan-99,8.2778,8.2778,8.2778,8.2778,-0.01%
Dec-98,8.2789,8.2789,8.2789,8.2789,0.01%
Nov-98,8.2782,8.2782,8.2782,8.2782,0.00%
Oct-98,8.2778,8.2778,8.2778,8.2778,0.00%
Sep-98,8.278,8.278,8.278,8.278,-0.02%
Aug-98,8.28,8.28,8.28,8.28,0.00%
Jul-98,8.2799,8.2799,8.2799,8.2799,0.00%
Jun-98,8.2797,8.2797,8.2797,8.2797,0.00%
May-98,8.2793,8.2793,8.2793,8.2793,0.02%
Apr-98,8.2779,8.2779,8.2779,8.2779,-0.02%
Mar-98,8.2793,8.2793,8.2793,8.2793,0.00%
Feb-98,8.2789,8.2789,8.2789,8.2789,0.00%
Jan-98,8.2785,8.2785,8.2785,8.2785,-0.01%
Dec-97,8.2796,8.2796,8.2796,8.2796,0.00%
Nov-97,8.2796,8.2796,8.2796,8.2796,-0.05%
Oct-97,8.2834,8.2834,8.2834,8.2834,-0.02%
Sep-97,8.2849,8.2849,8.2849,8.2849,-0.04%
Aug-97,8.2884,8.2884,8.2884,8.2884,-0.02%
Jul-97,8.2903,8.2903,8.2903,8.2903,0.00%
Jun-97,8.2907,8.2907,8.2907,8.2907,-0.02%
May-97,8.2921,8.2921,8.2921,8.2921,-0.03%
Apr-97,8.2945,8.2945,8.2945,8.2945,-0.01%
Mar-97,8.2955,8.2955,8.2955,8.2955,0.00%
Feb-97,8.2954,8.2954,8.2954,8.2954,0.02%
Jan-97,8.2934,8.2934,8.2934,8.2934,-0.06%
Dec-96,8.2984,8.2984,8.2984,8.2984,-0.03%
Nov-96,8.3012,8.3012,8.3012,8.3012,0.01%
Oct-96,8.3,8.3,8.3,8.3,-0.02%
Sep-96,8.3017,8.3017,8.3017,8.3017,-0.06%
Aug-96,8.3063,8.3063,8.3063,8.3063,-0.05%
Jul-96,8.3107,8.3107,8.3107,8.3107,-0.14%
Jun-96,8.3221,8.3221,8.3221,8.3221,-0.04%
May-96,8.3255,8.3255,8.3255,8.3255,-0.06%
Apr-96,8.3301,8.3301,8.3301,8.3301,-0.04%
Mar-96,8.3338,8.3338,8.3338,8.3338,0.15%
Feb-96,8.3211,8.3211,8.3211,8.3211,0.09%
Jan-96,8.3138,8.3138,8.3138,8.3138,-0.04%
Dec-95,8.3174,8.3174,8.3174,8.3174,0.07%
Nov-95,8.3116,8.3116,8.3116,8.3116,-0.04%
Oct-95,8.3149,8.3149,8.3149,8.3149,-0.04%
Sep-95,8.3185,8.3185,8.3185,8.3185,-0.02%
Aug-95,8.3198,8.3198,8.3198,8.3198,0.23%
Jul-95,8.3003,8.3003,8.3003,8.3003,-0.01%
Jun-95,8.3011,8.3011,8.3011,8.3011,-0.05%
May-95,8.3055,8.3055,8.3055,8.3055,-1.21%
Apr-95,8.4074,8.4074,8.4074,8.4074,-0.23%
